Loss Reason,Days Offer Close,Discount code,Price,Use Case_offer,Price Category,Days Lead Offer,Pain,Source,Status_offer
No Loss,0,MONTHSAVE25DEAL,360.0,Corporate Events,low,4.0,operations,Inbound,Closed Won
No Loss,353,No Discount,360.0,Sports Events,low,-1.0,quality of delivery,Unknown,Demo 1
No Loss,141,No Discount,360.0,Sports Events,low,-1.0,quality of delivery,Unknown,Demo 1
No Loss,50,No Discount,360.0,Unknown,low,214.0,Unknown,Inbound,Demo 1
No Loss,48,No Discount,360.0,Educational Seminars,low,-1.0,financial control,Unknown,Demo 1
No Loss,5,25GIFT,360.0,Educational Seminars,low,0.0,financial control,Outbound,Closed Won
No Loss,2,YEARLY60,960.0,Educational Seminars,mid,0.0,financial control,Outbound,Closed Won
No Loss,0,10OFFREDUCED,324.0,Corporate Events,low,16.0,quality of delivery,Inbound,Closed Won
No Loss,0,MONTHSAVE25DEAL,360.0,Educational Seminars,low,2.0,financial control,Inbound,Negotiation
no response,66,SAVE25LESS,360.0,Corporate Events,low,-1.0,operations,Unknown,Closed Lost
No Loss,0,25GIFT,360.0,Sports Events,low,-1.0,quality of delivery,Unknown,Closed Won
No Loss,0,YEARLY60,960.0,Educational Seminars,mid,-1.0,Unknown,Unknown,Closed Won
No Loss,0,DISCOUNT25QUICK,360.0,Educational Seminars,low,214.0,financial control,Outbound,Closed Won
No Loss,309,No Discount,360.0,Wedding Planning,low,-1.0,Unknown,Unknown,Negotiation
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,5.0,quality of delivery,Outbound,Negotiation
No Loss,0,YEARLY30PROMO,1344.0,Corporate Events,mid,42.0,quality of delivery,Inbound,Closed Won
No Loss,50,No Discount,360.0,Corporate Events,low,153.0,financial control,Inbound,Demo 1
price,0,ECONOMY50SPECIAL,300.0,Educational Seminars,low,-1.0,Unknown,Inbound,Closed Lost
No Loss,70,No Discount,360.0,Educational Seminars,low,2.0,operations,Inbound,Demo 1
not target,3,RENEW30YEARLY,1008.0,Corporate Events,mid,8.0,financial control,Inbound,Closed Lost
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,1.0,operations,Inbound,Closed Won
No Loss,1,2SEMESTERS20OFF,768.0,Corporate Events,mid,12.0,Unknown,Outbound,Closed Won
no response,7,YEARLY30PROMO,1344.0,Corporate Events,mid,0.0,Unknown,Inbound,Closed Lost
No Loss,0,DISCOUNT25QUICK,360.0,Educational Seminars,low,293.0,Unknown,Inbound,Closed Won
No Loss,30,25GIFT,360.0,Educational Seminars,low,62.0,financial control,Outbound,Closed Won
No Loss,384,No Discount,360.0,Educational Seminars,low,-1.0,operations,Unknown,Demo 1
No Loss,47,CUTBACK75SPECIAL,360.0,Corporate Events,low,-1.0,Unknown,Unknown,Demo 1
No Loss,0,HALFYEAR20G,768.0,Sports Events,mid,-1.0,Unknown,Unknown,Negotiation
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,0.0,financial control,Inbound,Closed Won
No Loss,34,BIANNUAL20,960.0,Sports Events,mid,0.0,financial control,Outbound,Demo 1
